YEAR,QUARTER,UNIT,iceland_pgdp,eurozone_pgdp_weighted,eurozone_pgdp_simple,soe_pgdp_weighted,soe_pgdp_simple,baltics_pgdp_weighted,baltics_pgdp_simple
1999,1,Percentage of Nominal GDP (%),-5.724463487419284,2.0519322270028018,2.9327566537054603,1.7592413430036289,2.4360614723060574,-2.062251685418673,-0.5807300616501759
1999,2,Percentage of Nominal GDP (%),-12.132928702738807,-3.1346257389881873,-3.1192119834016556,4.364849759299918,7.39116120832948,-1.98087670706624,-1.9604230603654191
1999,3,Percentage of Nominal GDP (%),-21.89310387085282,-0.901527156749796,-3.701907284959904,6.154387775057186,10.020786869020096,1.4477136557982049,2.1143385118771425
1999,4,Percentage of Nominal GDP (%),-1.2276099933199731,-1.3580935475867282,-0.6835453499359381,0.6076176722219675,0.4231214650396369,-5.0670146326779095,-3.81890571709269
2000,1,Percentage of Nominal GDP (%),-3.8233335816530025,-3.663193011407749,-0.7610715300840925,-0.01142440378412326,-0.12518845881823532,-1.9660390939791064,-1.0031107292095294
2000,2,Percentage of Nominal GDP (%),-28.19237907263461,-0.9570907786145988,0.6684638574037753,3.521603661984322,5.765977853732672,-2.3701590905338574,-3.702673563862044
2000,3,Percentage of Nominal GDP (%),-12.584433975608246,-1.5723451451633896,0.06018456491835152,-2.9565522731739864,-5.342153387308211,0.9687431452934364,1.5475120183639313
2000,4,Percentage of Nominal GDP (%),-11.786903097717705,-2.8945756884449523,-3.4252834112904136,17.629717691864776,25.92519714973964,2.810238226362174,2.651700062555192
2001,1,Percentage of Nominal GDP (%),-5.580657215689131,-0.3813690368335684,0.8452983710921262,-1.891596318188664,-4.2536903493618174,-3.6202143054061455,-3.0101549892003816
2001,2,Percentage of Nominal GDP (%),-2.568931371657559,-2.0201082661499266,-0.8574916976903009,-9.526630798346243,-15.474046418063478,2.786436896620444,3.497258531174292
2001,3,Percentage of Nominal GDP (%),-0.01025127898482088,-1.9288915479896616,-4.515175885072907,4.31982435953189,7.79122510643804,-1.434629884858675,-0.7727445724339316
2001,4,Percentage of Nominal GDP (%),-19.14306814960534,-0.22809002526529604,0.6681711288346899,11.41168895761914,23.372549244283302,-2.2090579353302178,-2.670483123132077
2002,1,Percentage of Nominal GDP (%),-0.07303543391285684,2.088172503005676,1.487911096611879,-2.773222691983636,-5.69356290045253,1.9184650312854847,2.299184918604003
2002,2,Percentage of Nominal GDP (%),-14.988139381841597,-2.2377265951601326,-2.8952947660355557,4.188165840006703,8.242808217989964,-3.1664673388919846,-2.475217715501394
2002,3,Percentage of Nominal GDP (%),-9.899084539600771,-1.5613727312165029,-1.775938697163164,3.700380334214008,6.441682602849402,1.4611747889029618,0.06751378955747889
2002,4,Percentage of Nominal GDP (%),9.824145884953854,-4.297465768309116,-2.628558774037481,0.4437458855474448,-0.43381090045192633,0.5925266472183925,0.7589291978363303
2003,1,Percentage of Nominal GDP (%),-10.795781626319014,-0.6044528043803293,0.2254299066980868,1.3053522122347248,0.500769027800267,-7.689278580104165,-7.413246282201355
2003,2,Percentage of Nominal GDP (%),-33.910629738384806,-4.80730049771699,-2.643012068888867,4.994909846515899,10.010932813647164,6.629521105993735,7.2308259389696445
2003,3,Percentage of Nominal GDP (%),-37.09632029538892,1.6834980473775771,3.103583942969996,10.348334792428613,19.44402010241547,2.4617998867445525,3.0728727814249135
2003,4,Percentage of Nominal GDP (%),-43.45518768851168,-0.03093012551699438,-1.1639084967739928,3.647189076738646,4.908369033626962,-2.8082360860240154,-3.5791477418081445
2004,1,Percentage of Nominal GDP (%),-53.01903661407595,-1.4754027815745232,-1.854124722690952,6.8776926915718155,18.888239325973903,-3.4193329986448204,-2.527926041244577
2004,2,Percentage of Nominal GDP (%),-28.631849240940326,-3.974280774158344,-2.137154706744293,0.13667797097240314,-3.2978962057222656,-4.0751177608167115,-5.806219101676989
2004,3,Percentage of Nominal GDP (%),-58.8313394684991,0.3374133011238211,3.409052748274864,13.494911129411364,32.493387487571745,2.4987747704966807,3.467359532921521
