YEAR,QUARTER,UNIT,iceland_pgdp,hard_peg_pgdp_weighted,hard_peg_pgdp_simple,crawl_tight_pgdp_weighted,crawl_tight_pgdp_simple,managed_float_pgdp_weighted,managed_float_pgdp_simple,free_float_pgdp_weighted,free_float_pgdp_simple,freely_falling_pgdp_weighted,freely_falling_pgdp_simple,dual_market_pgdp_weighted,dual_market_pgdp_simple
1999,1,Percentage of Nominal GDP (%),-6.556196209763421,-0.5223718966105765,-0.10396488864284348,-1.43421110517541,-0.9778587472348705,0.6538745200694824,-0.6067367282032441,-0.5176796981933758,0.5568188511382998,2.9619250283765046,-2.3981780769450407,NA,NA
1999,2,Percentage of Nominal GDP (%),1.9761532541351534,-4.148831321407348,-2.230363394863756,1.860736762787165,0.7745688128519144,4.277038644702104,2.8542324739356686,0.22843859226947105,-1.339820623026318,-1.0033926542257992,0.8339694682664199,NA,NA
1999,3,Percentage of Nominal GDP (%),2.7928224281377054,0.11220671703125416,0.9094799069252458,2.9557862838390587,0.7805829821215076,-2.664756102741713,-1.080205866819271,0.020407502704696132,-1.3687836481705464,3.3520804001675084,-3.3123510906344977,NA,NA
1999,4,Percentage of Nominal GDP (%),-14.25930574550395,-3.5083143831280994,-1.4688897826757956,-2.2469246482281173,-4.0876922798702395,2.752406291777355,-0.93343554273389,-0.794971329199058,-1.6955977449658977,7.643604572212258,0.5260174546935503,NA,NA
2000,1,Percentage of Nominal GDP (%),-15.434556010442012,-5.482375186908784,2.6798886590890314,-0.6908441529046249,-1.02902314507738,-0.21477821058730204,0.6091918767261725,3.03130391048398,2.0684435096491347,2.9828743731373506,8.810311174450653,NA,NA
2000,2,Percentage of Nominal GDP (%),-9.867479495109615,-0.7904575969831876,-0.024719396413421895,0.7676237312695656,-0.6117576437252402,-2.9885866393266887,-1.1222353646022203,-2.144623858100572,-2.9173988406221327,-2.2756676065682524,-0.6390055788196707,NA,NA
2000,3,Percentage of Nominal GDP (%),-4.412673376203971,-3.008104878966868,-0.3787713589081571,-0.2170305385184796,0.016970365755905714,3.7793326293651024,-0.09639324273744845,-1.859953365261004,-1.0541689508131034,0.02653839774423539,0.534663814581321,NA,NA
2000,4,Percentage of Nominal GDP (%),2.2099799078054922,-3.1012553916268266,-1.6507379224212098,0.06146340940741056,-2.1699833214398465,2.4922584092070337,-1.747514394258126,0.4665301042901587,1.1307543932307123,-5.71239011444684,-4.573989393187059,NA,NA
2001,1,Percentage of Nominal GDP (%),-4.496344319604292,-5.808738756413625,1.8440829394190381,-0.47216698941883245,1.0154937257610062,-7.07120209163925,-1.1989916642100102,-0.12343554836659468,-0.3272571595097444,-0.09603803982293983,-0.7953354956364901,NA,NA
2001,2,Percentage of Nominal GDP (%),7.8931186639796325,0.2221768241071228,0.17476288342156548,0.47318942832739574,1.6679013475850526,-3.2827853498434374,2.5637397750644055,0.04414412770833212,2.9223207063234122,4.488798900323216,1.8360633918848768,NA,NA
2001,3,Percentage of Nominal GDP (%),-7.9906278902276,4.013326297525128,1.7228912714751332,-2.8822277000399117,-2.001590806050892,-3.830390713835595,-3.4314487935526152,-1.9431183465117612,-0.8536289060369426,-4.116357692164803,-2.7745964920221438,NA,NA
2001,4,Percentage of Nominal GDP (%),22.185690357210316,2.0261172058468464,-3.680283743761499,2.4744143426549297,-1.9598161074272458,-0.8150274190874638,1.4183598749162496,-0.18350652593892766,-1.2914358613183734,3.236244752386967,-1.9576655119447683,NA,NA
2002,1,Percentage of Nominal GDP (%),-10.517102481695527,-2.4369193147358996,11.406166176992992,0.623827380275462,-0.8100622221446525,-2.2725070074692875,-0.6631502029724146,-0.9465025362991499,0.29408001007107504,0.6016149036068975,1.1203785451412667,NA,NA
2002,2,Percentage of Nominal GDP (%),10.364163539608173,5.136749482812351,16.416404195228026,-0.33004108978856483,-2.1672596389502297,-4.013619767503663,0.7924320129699851,-0.30517771943799027,0.14445954031173472,3.6710670099746845,2.9612927564629636,NA,NA
2002,3,Percentage of Nominal GDP (%),4.076795093496362,2.5346031951467305,2.967468397509794,-1.4365192644346678,-2.864043911808476,3.4459259810850913,-0.7763649857971715,-2.8429092062497863,-2.1047048942768796,2.885541077958327,6.338260885038277,NA,NA
2002,4,Percentage of Nominal GDP (%),-9.407715818511566,4.806432008962604,1.7762107776309595,-1.8117908473559436,-4.309713561622765,4.630783887730828,0.30727757915617776,-1.3207631849810422,-0.925888077928133,0.8247258969363803,-0.9756889800525004,NA,NA
2003,1,Percentage of Nominal GDP (%),8.98480432358444,0.5732401755027435,-2.0434659033447895,0.19237752598391006,-1.364990318152942,-1.3925312586799958,-0.18251767320734794,-2.438414762286929,-1.7477964778551662,-2.73147037658911,-0.4855693053953096,NA,NA
2003,2,Percentage of Nominal GDP (%),20.343472369701747,3.005621097964621,0.20214419814497328,-3.7514638902145814,-4.470129365220957,-3.25838878716929,-0.06770227178047149,-0.5600701806867526,0.2690887583207212,6.787438458964677,6.787438458964677,NA,NA
2003,3,Percentage of Nominal GDP (%),24.670264563075964,-1.7345670629239152,0.05371370435378135,0.42175655417612706,-2.10701967691261,6.871375822680179,1.7280424797266933,-3.3163276886069384,-1.0686760333091647,6.959514363558148,6.959514363558148,NA,NA
2003,4,Percentage of Nominal GDP (%),35.15961714010695,1.1790195876841,7.977541023672395,-2.1578110520485345,-1.0058754560715781,4.499628455525756,1.292953937099626,-1.8581877615658704,0.4064926316870885,8.22618421681564,8.22618421681564,NA,NA
2004,1,Percentage of Nominal GDP (%),29.107806623901222,0.4796190878039602,6.342360129757832,1.5269980047790679,-0.24620500005132745,1.4765533973172549,0.8769216594495366,-1.5569372726151895,-0.6498893397848372,8.384556452331319,8.384556452331319,NA,NA
2004,2,Percentage of Nominal GDP (%),0.04606000043015803,0.9301552684570287,8.584962049573797,-0.6330570580378097,-0.9901974856360821,3.4325439892344303,1.3411324428666656,0.07671776965542439,0.04788799238522934,9.877599016516116,9.877599016516116,NA,NA
2004,3,Percentage of Nominal GDP (%),17.356621532958368,1.8207878575734329,-7.7245091876312895,2.24910596985909,-2.3851544279691037,-6.161469950021855,-0.8462898405787095,0.16863375159367813,1.2325063222276085,10.255313841823009,10.255313841823009,NA,NA
2004,4,Percentage of Nominal GDP (%),39.44336567472298,2.062383162071599,14.492354268399254,-6.061566699042571,-2.913064665092814,0.32957347447542373,2.422795008356153,0.8291062007640836,0.0805089647452945,5.836763055214068,5.836763055214068,NA,NA
2005,1,Percentage of Nominal GDP (%),19.359294399555555,-1.7857089573725968,5.327483480816098,-0.4472978644369244,-1.7104766758891101,2.1275935270686617,1.1221564708866834,0.06948751526236693,-1.7068999491150756,9.120139494333044,9.120139494333044,NA,NA
2005,2,Percentage of Nominal GDP (%),70.503306217269,2.037233058508933,-5.106670059044082,0.9035619163732685,-1.4949642993509722,-1.8446822763590731,4.76747711282075,0.10582861159560378,0.25088182222634414,10.071490845684394,10.071490845684394,NA,NA
2005,3,Percentage of Nominal GDP (%),-2.5163051689279157,-1.2723513288829496,4.8913224240593145,0.3143711350914743,-3.3699051738383545,2.5833839518012334,0.01722764579111159,-1.1423391429227092,0.19934018497316824,16.675152571926766,16.675152571926766,NA,NA
2005,4,Percentage of Nominal GDP (%),50.41964699959276,-1.837528411040329,0.0670475331960154,-3.0234924954382505,-8.046018001496382,7.715582717757069,4.3942031278599405,0.9679997026310684,-0.10184956048903025,16.546817785527463,16.546817785527463,NA,NA
2006,1,Percentage of Nominal GDP (%),-42.10401341734532,-3.1782617825664645,0.9198250409652591,2.1424891777671418,1.4375404464467985,-2.1015092972149754,0.1757570266269181,-0.2039150618795055,0.030872271178617287,4.790472829527059,4.790472829527059,NA,NA
2006,2,Percentage of Nominal GDP (%),26.155714265520412,1.1296275243275513,4.26169299270949,-3.232556713951314,-2.463910471310496,-6.661073030484853,0.6657040064449414,1.6659858799022271,0.21133404845588394,4.45213728356888,4.45213728356888,NA,NA
2006,3,Percentage of Nominal GDP (%),29.204896446464108,-1.3514532026270116,9.467845261823156,4.532656298067856,7.517679674060248,3.394336925497176,11.4969058728826,-2.932642281070158,-1.5793355444307746,6.269290447622408,6.269290447622408,NA,NA
2006,4,Percentage of Nominal GDP (%),45.80921653673053,3.2877985853261764,10.130758045608209,-1.5693407028687896,-3.8445626800045565,-3.250246182982593,2.643094030357894,1.4434282720770943,0.5963983954502359,0.9926003103276366,0.9926003103276366,NA,NA
2007,1,Percentage of Nominal GDP (%),-72.39927253225423,1.2315394640907469,8.19899587306031,-1.264378758170996,2.0631280908642435,-3.611725653611259,-1.4994066357229556,0.049136967662930006,-0.5470087245823975,12.51240031435602,12.51240031435602,NA,NA
2007,2,Percentage of Nominal GDP (%),-72.80712798466095,0.28531640228787297,0.7789021787193324,-6.158119482698695,-2.279492158162088,-3.7453760506296887,-4.588223834973819,1.0686006216712307,-0.7672971938119182,22.827744066100657,22.827744066100657,NA,NA
2007,3,Percentage of Nominal GDP (%),-131.52388992137946,-0.8819878988139639,-1.7445995354282131,-1.849544839960005,2.5505846123795943,-2.2488759381861625,-7.705869201119729,-1.6587401177839083,-0.3192220639927199,5.201475583727353,5.201475583727352,NA,NA
