COUNTRY,YEAR,QUARTER,UNIT,"Net (net acquisition of financial assets less net incurrence of liabilities) - Direct investment, Total financial assets/liabilities","Net (net acquisition of financial assets less net incurrence of liabilities) - Financial account balance, excluding reserves and related items",Net (net acquisition of financial assets less net incurrence of liabilities) - Financial derivatives (other than reserves) and employee stock options,"Net (net acquisition of financial assets less net incurrence of liabilities) - Other investment, Total financial assets/liabilities","Net (net acquisition of financial assets less net incurrence of liabilities) - Portfolio investment, Total financial assets/liabilities","Gross domestic product (GDP), Current prices, US dollar"
Austria,2005.0,1.0,"US dollar, Nominal (Current Prices)",334380677.4193426,2099386135.483795,608441703.2257842,1771561941.935419,-614998187.0967517,314126000000.0
Austria,2005.0,2.0,"US dollar, Nominal (Current Prices)",-651094687.6923239,-430704803.076934,-362698781.5384705,-6565099820.000163,7148188486.154024,314126000000.0
Austria,2005.0,3.0,"US dollar, Nominal (Current Prices)",1250419242.42423,-473329430.3030256,-251303769.6969672,-7484216636.363562,6011771733.333273,314126000000.0
Austria,2005.0,4.0,"US dollar, Nominal (Current Prices)",-740366385.9374996,-284024985.9374999,-149737021.8749999,-335125715.6249999,941204137.4999996,314126000000.0
Austria,2006.0,1.0,"US dollar, Nominal (Current Prices)",2170154276.923009,8220135618.461279,-2449088233.846077,6090859593.845962,2409412283.076847,333924000000.0
Austria,2006.0,2.0,"US dollar, Nominal (Current Prices)",2761844588.709686,198802480.6451619,2249739464.516136,839248446.7741961,-5654546506.45163,333924000000.0
Austria,2006.0,3.0,"US dollar, Nominal (Current Prices)",847407453.8461384,3146239103.076866,584902287.692297,1702460689.230738,10194375.3846152,333924000000.0
Austria,2006.0,4.0,"US dollar, Nominal (Current Prices)",-192015353.9682614,3944691265.079517,842805647.6190803,14524866138.0958,-11229676473.01631,333924000000.0
Austria,2007.0,1.0,"US dollar, Nominal (Current Prices)",7302584843.749997,6032627070.312498,-216246679.6874999,18187001054.68749,-19240712148.43749,386806000000.0
Austria,2007.0,2.0,"US dollar, Nominal (Current Prices)",-6446799309.677326,2185332848.387065,1495085829.032237,9085106764.516,-1946712296.774165,386806000000.0
Austria,2007.0,3.0,"US dollar, Nominal (Current Prices)",2192631452.307644,17859780.0,873755390.7692115,3434573076.923001,-6483100139.999857,386806000000.0
Austria,2007.0,4.0,"US dollar, Nominal (Current Prices)",7125701829.687496,6085601420.312497,-1235662464.062499,2682821668.749999,-2485811006.249999,386806000000.0
Austria,2008.0,1.0,"US dollar, Nominal (Current Prices)",8707065154.838991,11196081716.1294,-2237419219.354911,20427308000.00066,-15697877012.90373,429187000000.0
Austria,2008.0,2.0,"US dollar, Nominal (Current Prices)",2797922587.499998,3479047237.499998,-817037137.4999995,1146663974.999999,353060024.9999998,429187000000.0
Austria,2008.0,3.0,"US dollar, Nominal (Current Prices)",6722936522.727153,2079941409.090872,1050505863.636345,-3402856386.363576,-2292149613.636323,429187000000.0
Austria,2008.0,4.0,"US dollar, Nominal (Current Prices)",3373956000.000001,-912022481.2499996,1175612793.75,12695827401.5625,-18157418676.5625,429187000000.0
Austria,2009.0,1.0,"US dollar, Nominal (Current Prices)",3092990393.650752,8422991952.38084,-56022993.6507929,5481133355.555482,-95108803.1746019,398857000000.0
Austria,2009.0,2.0,"US dollar, Nominal (Current Prices)",-4465806212.903162,54527548.3870959,548001861.2903147,10133944867.74179,-6158886590.322493,398857000000.0
Austria,2009.0,3.0,"US dollar, Nominal (Current Prices)",-138739540.9090865,4717436264.95841,-1619104745.454494,-2733311986.363549,9209730968.181524,398857000000.0
Austria,2009.0,4.0,"US dollar, Nominal (Current Prices)",2769665326.153891,561618369.2307783,338448964.61539,-10611631292.30786,8065135370.76936,398857000000.0
Austria,2010.0,1.0,"US dollar, Nominal (Current Prices)",-352641523.8095147,4659016838.095118,-1035798044.444418,-5407170031.745893,11454626438.09494,390146000000.0
Austria,2010.0,2.0,"US dollar, Nominal (Current Prices)",-3043448150.793668,-1740928587.301597,1172902982.539689,5792082117.460349,-5665007038.095269,390146000000.0
